Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
species	Scytalidium	0.95	0.8127	400	All	0.991	0.8232	400	66	18	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Nemania	0.959	0.9577	400	Nemania	0.959	0.9577	400	544	26	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Skeletocutis	0.995	0.9439	400	Skeletocutis	0.995	0.9439	400	466	31	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Resinicium	0.971	0.9783	400	Resinicium	0.971	0.9783	400	137	11	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Thelidium	0.977	0.9346	400	Thelidium	0.977	0.9346	400	43	13	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Staurothele	0.986	0.8111	400	All	0.991	0.8232	400	54	13	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Niebla	0.997	0.5791	400	All	0.991	0.8232	400	79	29	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Kazachstania	0.981	0.9272	400	Kazachstania	0.981	0.9272	400	427	37	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Ogataea	0.985	0.9033	400	Ogataea	0.985	0.9033	400	147	43	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Daedalea	0.984	0.862	400	Daedalea	0.984	0.862	400	121	17	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Paraconiothyrium	0.98	0.8906	400	Paraconiothyrium	0.98	0.8906	400	289	15	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Lambertella	0.977	0.8742	400	Lambertella	0.977	0.8742	400	57	12	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Simplicillium	0.979	0.8937	400	Simplicillium	0.979	0.8937	400	161	13	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Mycetinis	0.991	0.908	400	Mycetinis	0.991	0.908	400	117	10	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Calostoma	0.902	0.9806	400	Calostoma	0.902	0.9806	400	31	12	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Knufia	0.985	0.9626	400	Knufia	0.985	0.9626	400	132	17	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Hyphodontia	0.978	0.912	400	Hyphodontia	0.978	0.912	400	442	33	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Lyomyces	0.945	0.951	400	Lyomyces	0.945	0.951	400	158	19	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Geastrum	0.987	0.7749	400	All	0.991	0.8232	400	510	89	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Hymenochaete	0.969	0.8922	400	Hymenochaete	0.969	0.8922	400	411	80	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Tubulicrinis	0.968	0.9674	400	Tubulicrinis	0.968	0.9674	400	83	15	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Subulicystidium	0.935	0.8052	400	All	0.991	0.8232	400	94	15	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Stropharia	0.984	0.8773	400	Stropharia	0.984	0.8773	400	151	18	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Lyophyllum	0.984	0.8584	400	Lyophyllum	0.984	0.8584	400	202	30	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
species	Lecanicillium	0.987	0.8081	400	All	0.991	0.8232	400	324	15	unite2024ITS.unique.species.fasta	unite2024ITS.unique.species.classification
