Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
species	Cytospora	0.987	0.9509	50	Cytospora	0.987	0.9509	50	228	26	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Fusarium	0.7	0.9696	50	All	0.988	0.8358	50	2284	24	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tyromyces	0.902	0.9517	50	Tyromyces	0.902	0.9517	50	56	11	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Inocybe	0.983	0.8197	50	All	0.988	0.8358	50	1187	391	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Aspergillus	0.988	0.9159	50	Aspergillus	0.988	0.9159	50	1931	125	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Colletotrichum	0.7	0.9305	50	All	0.988	0.8358	50	1741	26	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tuber	0.966	0.8813	50	Tuber	0.966	0.8813	50	1334	114	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Thelephora	0.987	0.8953	50	Thelephora	0.987	0.8953	50	219	18	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Acremonium	0.964	0.918	50	Acremonium	0.964	0.918	50	309	39	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Vararia	0.943	0.9526	50	Vararia	0.943	0.9526	50	76	39	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cladosporium	0.7	0.9625	50	All	0.988	0.8358	50	644	10	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Pyrenophora	0.985	0.9229	50	Pyrenophora	0.985	0.9229	50	179	14	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Coniochaeta	0.987	0.761	50	All	0.988	0.8358	50	134	41	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Erysiphe	0.989	0.8205	50	All	0.988	0.8358	50	679	170	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Diaporthe	0.985	0.9124	50	Diaporthe	0.985	0.9124	50	561	67	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Russula	0.984	0.8043	50	All	0.988	0.8358	50	1758	362	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
