Rank	Dataset	original cut-off	original confidence	original min alignment length	Dataset with max. confidence	cut-off	confidence	min alignment length	sequence number	group number	fasta filename	classification filename
species	Scheffersomyces	0.981	0.7888	50	All	0.987	0.8262	50	62	11	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Octaviania	0.987	0.9611	50	Octaviania	0.987	0.9611	50	48	20	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Scolecobasidium	0.981	0.7859	50	All	0.987	0.8262	50	81	27	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Blastobotrys	0.983	0.9259	50	Blastobotrys	0.983	0.9259	50	48	18	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Rutstroemia	0.993	0.8279	50	Rutstroemia	0.993	0.8279	50	55	16	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Melanelixia	0.992	0.8691	50	Melanelixia	0.992	0.8691	50	102	12	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Micarea	0.953	0.9328	50	Micarea	0.953	0.9328	50	83	50	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Diversispora	0.97	0.7029	50	All	0.987	0.8262	50	106	18	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Pyxine	0.97	0.84	50	Pyxine	0.97	0.84	50	45	21	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Aureoboletus	0.982	0.9285	50	Aureoboletus	0.982	0.9285	50	52	24	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Macrolepiota	0.985	0.9415	50	Macrolepiota	0.985	0.9415	50	80	14	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Xylographa	0.981	0.7851	50	All	0.987	0.8262	50	47	18	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Gomphidius	0.974	0.9794	50	Gomphidius	0.974	0.9794	50	53	10	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Hypochnicium	0.945	0.9439	50	Hypochnicium	0.945	0.9439	50	57	15	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Gyalolechia	0.969	0.7986	50	All	0.987	0.8262	50	85	21	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Roccella	0.976	0.8384	50	Roccella	0.976	0.8384	50	129	24	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Tricladium	0.971	0.9596	50	Tricladium	0.971	0.9596	50	30	11	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Protoparmelia	0.972	0.7854	50	All	0.987	0.8262	50	63	19	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Junghuhnia	0.975	0.8728	50	Junghuhnia	0.975	0.8728	50	103	16	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Leptographium	0.985	0.7757	50	All	0.987	0.8262	50	86	31	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Hypoderma	0.971	0.7478	50	All	0.987	0.8262	50	42	15	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
species	Graphilbum	0.994	0.8831	50	Graphilbum	0.994	0.8831	50	41	14	unite2024ITS2.unique.species.fasta	unite2024ITS2.unique.species.classification
