Rank	Dataset	cut-off	confidence	sequence number	group number	min alignment length	max proportion	fasta filename	classification filename
species	Coniothyrium	0.946	0.8647	70	16	50	0.2055	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phaeoacremonium	0.99	0.936	88	21	50	0.2237	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Dichostereum	0.964	0.9818	33	12	50	0.3143	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hyphodontia	0.982	0.9444	324	29	50	0.512	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Xanthoria	0.974	0.9541	209	12	50	0.3017	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hypoxylon	0.971	0.7926	510	100	50	0.1248	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Trichaptum	0.987	0.9245	120	12	50	0.4249	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Erioscyphella	0.984	0.8186	37	12	50	0.5263	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Keratinophyton	0.995	0.7804	37	15	50	0.234	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Xerocomus	0.984	0.8658	101	23	50	0.2615	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Pyrenopeziza	0.968	0.8341	35	14	50	0.3902	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tylopilus	0.954	0.9246	129	37	50	0.1831	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Efibula	0.985	0.8225	43	11	50	0.3256	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Monilinia	0.989	0.9473	162	20	50	0.4481	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cladonia	0.987	0.7449	829	198	50	0.0345	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Porpidia	0.951	0.8702	67	19	50	0.2361	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Gnomoniopsis	0.989	0.9286	69	14	50	0.1863	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lactarius	0.99	0.8287	1374	249	50	0.0359	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Ophiocordyceps	0.968	0.786	461	75	50	0.4598	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Rhodocollybia	0.957	0.9026	120	21	50	0.3231	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Sarcodon	0.975	0.938	84	20	50	0.2558	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Neocamarosporium	0.981	0.9042	65	13	50	0.4568	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Mallocybe	0.982	0.8778	79	29	50	0.0674	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Thaxterogaster	0.995	0.7623	317	77	50	0.1299	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Neosetophoma	0.99	0.6792	60	19	50	0.2923	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Paraconiothyrium	0.982	0.8576	156	14	50	0.4345	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Candelariella	0.97	0.7943	143	32	50	0.1597	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Chalara	0.984	0.8963	39	19	50	0.2564	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hyphodiscus	0.961	0.899	35	10	50	0.4	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Neocucurbitaria	0.993	0.8679	58	18	50	0.3103	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cladophialophora	0.969	0.8687	237	43	50	0.314	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Rinodina	0.986	0.8114	116	70	50	0.0672	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Melampsora	0.987	0.7919	94	14	50	0.233	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phlebia	0.97	0.9103	337	27	50	0.1831	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Paraphaeosphaeria	0.993	0.9214	99	14	50	0.3771	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Zygosaccharomyces	0.964	0.9574	180	12	50	0.4378	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lecanicillium	0.968	0.8372	187	12	50	0.3386	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Parasola	0.985	0.8283	91	18	50	0.1565	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Muyocopron	0.935	0.931	34	13	50	0.3889	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Collybia	0.977	0.9084	67	11	50	0.2687	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Humicola	0.971	0.7648	70	18	50	0.3413	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Sebacina	0.951	0.745	76	10	50	0.3614	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Sporobolomyces	0.988	0.9551	190	13	50	0.475	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Calogaya	0.982	0.5784	172	20	50	0.2147	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Clavulinopsis	0.966	0.724	90	26	50	0.1538	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Amauroderma	0.989	0.8604	131	17	50	0.2568	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Coccomyces	0.964	0.862	50	24	50	0.18	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Kretzschmaria	0.983	0.7768	47	14	50	0.2979	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Leptogium	0.973	0.8498	144	27	50	0.1867	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lophiostoma	0.987	0.6584	96	39	50	0.1313	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phaeoisaria	0.987	0.9649	32	12	50	0.375	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Dicephalospora	0.977	0.9043	50	10	50	0.7059	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lepiota	0.987	0.8051	486	105	50	0.1434	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tulostoma	0.987	0.9166	137	42	50	0.1007	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Chlorociboria	0.981	0.9256	62	20	50	0.2958	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Polyporus	0.968	0.7795	253	36	50	0.1559	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Ophiostoma	0.99	0.9056	204	46	50	0.0981	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Physcia	0.984	0.6953	144	29	50	0.1596	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Fuscopannaria	0.988	0.8591	38	15	50	0.1795	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Bacidia	0.965	0.9072	90	41	50	0.1064	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Pseudosperma	0.984	0.8562	89	41	50	0.1222	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Arthrobotrys	0.964	0.8501	188	30	50	0.1447	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Acaulospora	0.966	0.7418	192	33	50	0.125	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Zasmidium	0.992	0.8782	132	53	50	0.1295	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Golovinomyces	0.956	0.6602	87	13	50	0.1733	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Mollisia	0.988	0.7734	95	31	50	0.3113	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Leucoagaricus	0.976	0.7626	334	91	50	0.1751	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Rhodocybe	0.979	0.9161	56	19	50	0.1607	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Leptosphaeria	0.986	0.9098	109	31	50	0.2581	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Peziza	0.988	0.7724	193	53	50	0.1852	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Conocybe	0.982	0.7886	241	97	50	0.0781	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Sphaerulina	0.993	0.8716	210	21	50	0.5455	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Starmerella	0.961	0.9628	206	34	50	0.4009	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Toninia	0.944	0.7819	30	13	50	0.2	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Distoseptispora	0.987	0.9283	67	36	50	0.1765	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lentinellus	0.973	0.8854	91	14	50	0.2887	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Colacogloea	0.954	0.9869	40	13	50	0.234	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Gymnosporangium	0.944	0.9458	66	14	50	0.4	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hyaloscypha	0.968	0.9621	247	11	50	0.4286	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Terfezia	0.981	0.9285	84	19	50	0.1591	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lecania	0.965	0.9077	55	24	50	0.1273	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Favolaschia	0.984	0.9435	49	15	50	0.3704	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Leucocoprinus	0.985	0.8286	71	15	50	0.2917	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Clitocybe	0.979	0.9131	202	42	50	0.206	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Flavoplaca	0.99	0.7462	139	23	50	0.1745	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Porina	0.959	0.9167	33	14	50	0.1515	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Clavaria	0.971	0.8093	153	48	50	0.1634	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phaeoclavulina	0.916	0.7138	63	18	50	0.3235	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Volvariella	0.975	0.9103	116	22	50	0.408	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phylloporus	0.985	0.8736	113	33	50	0.1017	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Ramaria	0.985	0.7904	423	102	50	0.0458	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cladorrhinum	0.975	0.7919	49	11	50	0.3469	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Clavariadelphus	0.942	0.7888	45	14	50	0.1899	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tolypocladium	0.985	0.8612	132	20	50	0.1799	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Physisporinus	0.96	0.7624	58	12	50	0.3289	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cuphophyllus	0.973	0.6958	106	17	50	0.2205	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hodophilus	0.982	0.8093	83	18	50	0.1589	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Vishniacozyma	0.973	0.9112	148	12	50	0.4414	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lobaria	0.986	0.7748	141	24	50	0.1676	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cora	0.986	0.8341	156	48	50	0.1509	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Gnomonia	0.981	0.8396	44	19	50	0.2885	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Backusella	0.953	0.8996	100	26	50	0.2821	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Acarospora	0.971	0.7953	255	70	50	0.1413	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Metschnikowia	0.927	0.8051	236	46	50	0.2977	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Chaetosphaeria	0.948	0.9236	62	29	50	0.2742	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Fomitiporia	0.989	0.7179	218	39	50	0.1922	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phellinus	0.983	0.7579	501	55	50	0.1622	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phyllachora	0.93	0.9407	45	24	50	0.1509	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Pyrenula	0.944	0.7413	97	42	50	0.1237	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hyphopichia	0.943	0.9428	89	12	50	0.3587	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Preussia	0.966	0.8306	61	16	50	0.144	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Scytalidium	0.949	0.8425	39	12	50	0.2857	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cosmospora	0.993	0.8245	59	14	50	0.2976	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Circinaria	0.986	0.6251	89	24	50	0.1868	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Knufia	0.987	0.9307	66	12	50	0.2088	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Chroogomphus	0.984	0.9067	93	17	50	0.2	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Dictyocheirospora	0.985	0.8518	31	11	50	0.2222	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Exidia	0.987	0.9584	72	10	50	0.3483	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Microglossum	0.988	0.807	46	12	50	0.2041	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Dictyosporium	0.984	0.8428	31	16	50	0.2821	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tetrapyrgos	0.988	0.8231	63	12	50	0.303	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Malbranchea	0.954	0.87	82	17	50	0.2054	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Termitomyces	0.984	0.818	79	10	50	0.2015	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hydnellum	0.978	0.8748	236	39	50	0.1192	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Fuscoporia	0.989	0.803	203	36	50	0.1724	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Aphanoascus	0.95	0.8669	71	14	50	0.2212	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Diatrype	0.992	0.807	59	18	50	0.3846	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Akanthomyces	0.982	0.7709	86	11	50	0.2857	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Retiboletus	0.965	0.8115	32	12	50	0.2222	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Dactylellina	0.949	0.6535	68	11	50	0.4286	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Bryoria	0.985	0.8733	123	28	50	0.119	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Inosperma	0.973	0.8173	98	39	50	0.0992	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Microbotryum	0.981	0.864	71	19	50	0.1648	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Entyloma	0.989	0.8613	57	35	50	0.0465	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Thalloidima	0.931	0.972	39	11	50	0.3077	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Porodaedalea	0.993	0.7752	70	10	50	0.3889	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Bacidina	0.984	0.7419	37	17	50	0.2973	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Resinicium	0.968	0.9743	62	10	50	0.3939	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tubaria	0.976	0.9117	78	21	50	0.23	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phaeophyscia	0.984	0.691	92	28	50	0.2286	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Neurospora	0.991	0.8995	55	12	50	0.1964	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Biatora	0.967	0.9448	126	46	50	0.0923	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Pisolithus	0.969	0.9493	224	10	50	0.3804	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Deconica	0.994	0.832	61	24	50	0.2317	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Calicium	0.987	0.7643	86	25	50	0.1778	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Ceratocystiopsis	0.987	0.6714	36	11	50	0.325	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Podoscypha	0.981	0.7904	63	16	50	0.1975	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Chlorophyllum	0.986	0.901	158	16	50	0.2486	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Ramularia	0.993	0.7959	145	54	50	0.069	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Perenniporia	0.985	0.8702	221	44	50	0.1794	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Albatrellus	0.98	0.9299	52	10	50	0.2381	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phakopsora	0.946	0.9891	116	10	50	0.8017	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Parmotrema	0.976	0.7736	197	32	50	0.3182	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Rossbeevera	0.995	0.6986	54	10	50	0.3519	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Dacrymyces	0.964	0.8587	80	34	50	0.1685	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cladobotryum	0.979	0.9072	84	24	50	0.3409	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Triangularia	0.969	0.8953	40	12	50	0.1905	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cyathus	0.969	0.8466	86	24	50	0.1739	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Descolea	0.955	0.8713	68	12	50	0.1918	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Eutypa	0.99	0.9459	160	12	50	0.6271	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Rhizopogon	0.984	0.8268	495	43	50	0.1713	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Graphium	0.985	0.7577	38	10	50	0.2545	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Uromyces	0.979	0.8373	176	34	50	0.2443	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hymenoscyphus	0.985	0.8706	251	44	50	0.3464	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Coprinus	0.98	0.9054	90	20	50	0.4272	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lyophyllum	0.983	0.815	172	25	50	0.2258	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Venturia	0.992	0.8915	186	26	50	0.38	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Melanogaster	0.983	0.7756	72	13	50	0.241	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Diploschistes	0.986	0.602	94	16	50	0.2424	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Aureonarius	0.978	0.9879	44	12	50	0.2609	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Panellus	0.966	0.9361	103	13	50	0.3455	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Tilletia	0.988	0.8145	175	55	50	0.2736	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lobothallia	0.969	0.8598	46	14	50	0.2174	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cronartium	0.981	0.8905	66	11	50	0.3485	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Alnicola	0.995	0.8371	42	12	50	0.1395	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Psora	0.962	0.7683	198	26	50	0.5644	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Aspicilia	0.978	0.7164	143	50	50	0.2098	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Daedalea	0.99	0.8478	74	13	50	0.3333	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Nemania	0.964	0.9344	309	19	50	0.4511	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Diatrypella	0.991	0.7378	69	15	50	0.2468	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Myrothecium	0.965	0.8162	46	10	50	0.4462	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Ceriporiopsis	0.964	0.9515	119	19	50	0.2222	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Heterodermia	0.983	0.7486	80	20	50	0.2381	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cystoderma	0.98	0.8367	127	15	50	0.4046	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Verrucaria	0.982	0.7758	284	81	50	0.0503	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Chaenotheca	0.958	0.8324	76	21	50	0.1184	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Strobilomyces	0.956	0.8746	69	19	50	0.3014	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Grosmannia	0.989	0.8379	67	22	50	0.1099	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Uromycladium	0.967	0.8741	49	10	50	0.4	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Melanohalea	0.988	0.8589	130	14	50	0.1419	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phaeotremella	0.985	0.7589	42	11	50	0.38	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Clitocybula	0.957	0.8285	46	13	50	0.2609	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phoma	0.921	0.7451	238	16	50	0.7391	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Corticium	0.984	0.9147	50	14	50	0.3396	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Umbilicaria	0.982	0.731	339	59	50	0.0718	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Micropsalliota	0.984	0.7607	50	15	50	0.2447	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Dothiora	0.994	0.8466	47	27	50	0.1538	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Lactifluus	0.985	0.8202	533	170	50	0.1565	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Rosellinia	0.972	0.913	112	20	50	0.3932	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Schizothecium	0.985	0.7372	31	12	50	0.2368	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Flavoparmelia	0.989	0.8799	43	17	50	0.2667	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Cetraria	0.969	0.9022	151	12	50	0.5575	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Placidium	0.962	0.8473	44	20	50	0.1556	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phaeocollybia	0.988	0.8879	145	23	50	0.0756	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Kwoniella	0.983	0.8992	59	10	50	0.2857	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phallus	0.953	0.7316	106	22	50	0.1811	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Helicoma	0.973	0.8278	42	25	50	0.1905	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Setophoma	0.986	0.9544	83	10	50	0.6739	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Kazachstania	0.961	0.9159	259	36	50	0.1592	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Boletellus	0.952	0.897	48	17	50	0.1346	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phylloporia	0.971	0.8957	58	34	50	0.1613	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Myxarium	0.946	0.9116	43	15	50	0.1628	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Aleurodiscus	0.986	0.91	96	31	50	0.1484	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hericium	0.964	0.8604	137	10	50	0.5352	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Hymenochaete	0.984	0.8862	373	79	50	0.2737	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Elsinoe	0.991	0.9281	182	77	50	0.1146	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phomopsis	0.982	0.8421	118	13	50	0.3214	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
species	Phaeosphaeria	0.981	0.7381	165	51	50	0.0947	unite2024ITS1.unique.species.fasta	unite2024ITS1.unique.species.classification
